METRICA,VALORE,NOTE
Concorsi analizzati,4234,Conteggio archivio fino al concorso 4234
Media hit/sestina,0.42,Media numeri corretti per concorso
Hit rate >= 2,5.5%,Percentuale concorsi con almeno 2 hit
Con 0 hit,2714,Numero concorsi con esattamente 0 hit
Con 1 hit,1286,Numero concorsi con esattamente 1 hit
Con 2 hit,221,Numero concorsi con esattamente 2 hit
Con 3 hit,12,Numero concorsi con esattamente 3 hit
Con 4 hit,0,Numero concorsi con esattamente 4 hit
Con 5 hit,0,Numero concorsi con esattamente 5 hit
Con 6 hit,0,Numero concorsi con esattamente 6 hit
Best streak,8,Massima sequenza di concorsi con almeno 1 hit
Distribuzione hit 0-6,0: 2714 | 1: 1286 | 2: 221 | 3: 12 | 4: 0 | 5: 0 | 6: 0,"Conteggio concorsi con esattamente 0, 1, 2, 3, 4, 5 o 6 hit"
Ultimo concorso calcolato,4234,Data estrazione: 13/08/2026
Concorso successivo stimato,4235,Riferimento ASTRA Moon: 14/08/2026 20:30 CEST (14/08/2026 18:30 UTC)
Sestina proposta (prossimo concorso),77 81 80 79 78 76,Classifica numeri da effemeridi lunari + storico incrementale
