NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
601,13/08/2003,01,18,28,33,60,69
602,16/08/2003,04,07,30,54,79,[80]
603,20/08/2003,[09],20,31,36,67,82
604,23/08/2003,09,30,31,50,52,61
605,27/08/2003,07,31,43,44,57,60
606,30/08/2003,18,30,32,44,[61],69
607,04/09/2003,09,10,18,22,33,42
608,07/09/2003,24,26,33,54,[66],84
609,08/09/2003,28,32,43,46,64,73
610,13/09/2003,[01],02,09,54,67,69
611,17/09/2003,20,22,28,30,38,60
612,20/09/2003,02,04,16,18,[51],53
613,24/09/2003,02,36,38,67,68,75
614,27/09/2003,22,27,44,64,67,68
615,05/10/2003,03,04,23,54,67,73
616,09/10/2003,08,41,58,61,65,69
617,12/10/2003,02,10,22,28,46,60
618,15/10/2003,04,24,39,65,69,89
619,18/10/2003,38,51,54,60,67,69
620,22/10/2003,06,54,68,72,73,79
621,25/10/2003,10,20,24,46,67,72
622,29/10/2003,[20],24,38,47,67,72
623,01/11/2003,13,23,46,[67],72,73
624,06/11/2003,04,06,15,30,46,60
625,10/11/2003,04,23,39,41,67,72
626,15/11/2003,02,04,67,69,72,90
627,19/11/2003,[02],16,24,60,72,79
628,22/11/2003,25,41,58,67,72,87
629,26/11/2003,02,04,13,24,58,67
630,29/11/2003,07,15,43,60,[65],69
631,02/12/2003,06,13,21,32,[60],67
632,03/12/2003,02,13,23,46,67,[78]
633,04/12/2003,03,29,38,54,59,64
634,07/12/2003,21,30,[46],47,60,[83]
635,11/12/2003,04,09,13,60,67,[79]
636,13/12/2003,19,22,38,60,66,69
637,17/12/2003,04,24,53,59,60,68
638,20/12/2003,04,20,53,60,63,73
639,24/12/2003,30,39,55,60,69,[84]
640,27/12/2003,18,20,32,40,55,78
641,31/12/2003,28,32,[36],52,69,78
642,09/01/2004,51,53,60,[66],69,73
643,12/01/2004,09,24,42,59,60,[74]
644,14/01/2004,07,09,23,66,69,78
645,17/01/2004,10,[60],67,71,72,75
646,21/01/2004,28,50,54,[64],65,69
647,24/01/2004,19,21,60,63,66,67
648,28/01/2004,04,19,21,51,67,79
649,31/01/2004,[04],06,60,67,69,79
650,10/02/2004,06,31,59,60,[65],72
651,14/02/2004,05,21,67,72,75,89
652,18/02/2004,06,53,69,72,[79],80
653,21/02/2004,21,22,42,51,60,72
654,25/02/2004,21,52,53,64,69,90
655,28/02/2004,06,30,58,[60],69,74
656,01/03/2004,20,24,38,66,69,89
657,03/03/2004,06,20,60,[69],71,83
658,04/03/2004,04,[13],15,29,64,72
659,05/03/2004,11,[24],26,64,69,72
660,06/03/2004,08,09,30,32,62,69
661,07/03/2004,02,23,24,28,53,60
662,11/03/2004,08,19,23,28,29,89
663,13/03/2004,[04],13,15,16,50,[77]
664,17/03/2004,06,24,28,30,58,60
665,20/03/2004,08,24,28,31,[60],72
666,24/03/2004,13,47,[58],72,77,89
667,27/03/2004,02,[04],06,21,25,57
668,31/03/2004,24,31,[32],[47],69,72
669,02/04/2004,04,25,28,31,69,89
670,08/04/2004,09,13,28,32,57,89
671,09/04/2004,04,24,28,31,60,89
672,12/04/2004,13,[20],57,72,75,89
673,14/04/2004,33,41,43,47,54,61
674,17/04/2004,05,06,09,13,27,57
675,21/04/2004,20,31,47,51,60,89
676,24/04/2004,09,[27],28,30,31,57
677,28/04/2004,03,09,24,25,59,80
678,05/05/2004,20,25,29,32,59,79
679,06/05/2004,09,[29],42,54,69,72
680,15/05/2004,02,28,38,59,[60],72
681,19/05/2004,10,29,31,51,72,89
682,22/05/2004,10,20,25,42,74,78
683,26/05/2004,09,28,29,36,61,67
684,29/05/2004,31,32,33,46,[60],69
685,03/06/2004,28,29,31,65,67,79
686,10/06/2004,22,31,35,43,60,61
687,11/06/2004,23,24,60,66,70,78
688,16/06/2004,09,19,23,25,50,67
689,19/06/2004,[08],30,[36],41,60,69
690,23/06/2004,10,13,20,31,50,60
691,26/06/2004,15,16,19,20,48,52
