METRICA,VALORE,NOTE
Concorsi analizzati,4233,Conteggio archivio fino al concorso 4233
Media hit/sestina,0.41,Media numeri corretti per concorso
Hit rate >= 2,5.2%,Percentuale concorsi con almeno 2 hit
Con 0 hit,2740,Numero concorsi con esattamente 0 hit
Con 1 hit,1270,Numero concorsi con esattamente 1 hit
Con 2 hit,209,Numero concorsi con esattamente 2 hit
Con 3 hit,13,Numero concorsi con esattamente 3 hit
Con 4 hit,0,Numero concorsi con esattamente 4 hit
Con 5 hit,0,Numero concorsi con esattamente 5 hit
Con 6 hit,0,Numero concorsi con esattamente 6 hit
Best streak,7,Massima sequenza di concorsi con almeno 1 hit
Distribuzione hit 0-6,0: 2740 | 1: 1270 | 2: 209 | 3: 13 | 4: 0 | 5: 0 | 6: 0,"Conteggio concorsi con esattamente 0, 1, 2, 3, 4, 5 o 6 hit"
Media hit ultimi 100,0.46,Ultimi 100 concorsi o meno
Ultimo concorso calcolato,4233,Data estrazione: 11/08/2026
Concorso successivo stimato,4234,Sestina proposta: 01 17 03 86 72 90
Sestina proposta (prossimo concorso),01 17 03 86 72 90,Pronostico prodotto con addestramento incrementale
Coppie osservate,4005,Numero coppie distinte viste almeno una volta
Terzine osservate,60191,Numero terzine distinte viste almeno una volta
Ritardo massimo coppia,3122,Massimo ritardo storico registrato su una coppia
Ritardo massimo terzina,4204,Massimo ritardo storico registrato su una terzina
Coppia piu ritardataria,11-60,Ritardo corrente: 3019
Terzina piu ritardataria,20-36-41,Ritardo corrente: 4232
Score ritardi combo sestina,24575435,Indice sintetico interno basato su ritardi coppie/terzine
