NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,32,43,57,62,74,88
3,12/10/1997,32,43,57,62,74,[88]
4,13/12/1997,32,46,59,[62],79,87
5,17/12/1997,36,41,59,64,72,83
6,20/12/1997,34,46,[58],68,72,89
7,24/12/1997,34,49,56,66,77,84
8,27/12/1997,36,42,58,61,71,84
9,31/12/1997,[36],42,58,61,[71],84
10,04/01/1998,37,41,54,64,78,83
11,07/01/1998,[37],41,54,64,78,83
12,08/01/1998,39,43,56,63,76,86
13,14/01/1998,39,43,56,63,76,86
14,17/01/1998,39,43,56,63,76,86
15,21/01/1998,39,43,56,63,76,86
16,24/01/1998,37,47,[56],61,73,87
17,28/01/1998,32,41,57,62,78,86
18,31/01/1998,39,44,56,62,[78],86
19,05/02/1998,39,47,56,69,71,89
20,09/02/1998,39,47,56,69,71,89
21,12/02/1998,32,41,57,62,78,86
22,14/02/1998,32,41,57,62,78,86
23,18/02/1998,32,[41],57,62,78,86
24,21/02/1998,32,42,57,66,76,86
25,25/02/1998,32,41,57,62,78,86
26,28/02/1998,32,41,57,62,78,86
27,01/03/1998,32,41,57,62,78,86
28,06/03/1998,32,41,57,62,78,86
29,10/03/1998,32,41,57,62,78,86
30,14/03/1998,32,41,57,62,78,[86]
31,18/03/1998,32,46,59,62,79,87
32,21/03/1998,32,41,57,62,78,86
33,25/03/1998,32,41,57,[62],78,86
34,28/03/1998,32,42,57,66,76,86
35,02/04/1998,32,42,57,66,76,86
36,03/04/1998,32,41,57,62,78,86
37,04/04/1998,32,41,57,62,78,86
38,07/04/1998,32,41,57,62,78,86
39,11/04/1998,32,41,57,62,78,86
40,15/04/1998,32,41,57,62,78,86
41,18/04/1998,32,41,57,62,78,86
42,22/04/1998,32,41,57,62,78,[86]
43,27/04/1998,32,43,57,[62],74,88
44,29/04/1998,34,46,58,68,72,89
45,08/05/1998,32,41,57,62,78,86
46,09/05/1998,32,41,57,62,78,86
47,12/05/1998,32,41,57,62,78,86
48,13/05/1998,32,[41],[57],62,78,86
49,16/05/1998,32,46,59,62,79,87
50,20/05/1998,32,41,57,62,78,86
51,23/05/1998,32,41,57,62,78,86
52,27/05/1998,32,41,57,62,78,86
53,30/05/1998,32,41,57,62,78,[86]
54,05/06/1998,32,46,59,62,79,87
55,06/06/1998,32,41,57,62,78,86
56,13/06/1998,32,41,57,62,78,[86]
57,17/06/1998,32,43,57,62,74,88
58,20/06/1998,32,41,57,62,78,86
59,24/06/1998,32,41,57,62,78,86
60,27/06/1998,32,41,[57],62,78,86
61,01/07/1998,32,46,59,62,79,87
62,02/07/1998,32,41,57,62,78,86
63,03/07/1998,32,41,[57],[62],78,86
64,10/07/1998,34,41,54,67,76,[83]
65,11/07/1998,32,41,57,62,78,86
66,15/07/1998,[32],41,57,62,78,86
67,18/07/1998,34,41,54,67,76,83
68,22/07/1998,32,41,57,62,[78],86
69,25/07/1998,32,42,57,66,[76],86
70,29/07/1998,32,41,57,[62],78,86
71,04/08/1998,32,42,57,66,76,86
72,07/08/1998,32,41,57,62,[78],86
73,08/08/1998,[32],42,[57],66,76,86
74,17/08/1998,34,46,58,68,72,89
75,19/08/1998,32,41,57,[62],78,86
76,22/08/1998,32,42,57,66,76,86
77,26/08/1998,32,41,57,62,78,86
78,29/08/1998,32,41,57,62,78,86
79,05/09/1998,32,41,57,62,78,86
80,09/09/1998,32,41,57,62,78,86
81,12/09/1998,32,41,57,62,78,86
82,16/09/1998,32,41,57,62,78,86
83,19/09/1998,32,41,[57],62,[78],86
84,23/09/1998,32,46,59,62,79,87
85,26/09/1998,32,42,57,66,76,86
86,30/09/1998,32,41,57,62,78,86
87,01/10/1998,32,41,57,62,78,[86]
88,06/10/1998,32,43,57,62,74,88
89,10/10/1998,32,41,57,62,78,86
90,14/10/1998,32,41,57,62,78,86
91,17/10/1998,32,41,57,62,[78],86
92,21/10/1998,32,42,57,66,76,86
93,24/10/1998,32,41,57,62,78,86
94,28/10/1998,32,41,57,62,78,86
95,31/10/1998,32,41,57,62,78,86
96,02/11/1998,32,41,57,62,[78],86
97,03/11/1998,32,42,57,66,76,86
98,04/11/1998,32,41,57,62,78,86
99,07/11/1998,32,41,[57],62,78,86
