METRICA,VALORE,NOTE
Concorsi analizzati,4143,Conteggio archivio dal concorso 1 al concorso 4143
Media hit/sestina,4.41,Media numeri corretti per concorso
Hit rate >= 2,93.9%,Percentuale concorsi con almeno 2 hit
Hit rate >= 3,91.6%,Percentuale concorsi con almeno 3 hit
Hit rate >= 4,82.8%,Percentuale concorsi con almeno 4 hit
Hit rate >= 5,57.726%,Percentuale concorsi con almeno 5 hit
Hit rate >= 6,19.04877%,Percentuale concorsi con 6 hit
Con 2 hit,95,Numero concorsi con esattamente 2 hit
Con 3 hit,367,Numero concorsi con esattamente 3 hit
Con 4 hit,1037,Numero concorsi con esattamente 4 hit
Con 5 hit,1602,Numero concorsi con esattamente 5 hit
Con 6 hit,789,Numero concorsi con esattamente 6 hit
Best streak,3880,Massima sequenza di concorsi con almeno 1 hit
Ultimo concorso calcolato,4143,Data estrazione: 10/02/2026
Concorso successivo stimato,4144,Sestina proposta: 11 43 51 53 54 59
Sestina proposta (prossimo concorso),11 43 51 53 54 59,Calcolata da scoring neurale su finestra storica recente
